Date, Open, High, Low, Close
06/24/21, 7303.3, 7303.8, 7256.3, 7275.3
06/23/21, 7342.7, 7344.0, 7292.9, 7298.5
06/22/21, 7258.2, 7365.9, 7258.2, 7342.2
06/21/21, 7347.1, 7347.1, 7216.6, 7235.3
06/18/21, 7347.2, 7403.2, 7334.9, 7368.9
06/17/21, 7384.5, 7384.5, 7341.9, 7359.0
06/16/21, 7373.0, 7406.2, 7372.4, 7386.2
06/15/21, 7319.5, 7398.6, 7319.0, 7379.5
06/11/21, 7305.8, 7329.7, 7274.8, 7312.3
06/10/21, 7265.6, 7314.6, 7265.6, 7302.5
06/09/21, 7300.2, 7334.9, 7270.2, 7270.2
06/08/21, 7275.2, 7315.6, 7267.6, 7292.6
06/07/21, 7305.0, 7309.4, 7269.4, 7281.9
06/04/21, 7251.2, 7300.5, 7244.3, 7295.4
06/03/21, 7221.7, 7281.8, 7221.3, 7260.1
06/02/21, 7161.9, 7218.9, 7159.8, 7217.8
06/01/21, 7162.8, 7163.0, 7117.5, 7142.6
05/31/21, 7185.0, 7203.3, 7157.2, 7161.6
05/28/21, 7115.3, 7186.8, 7114.6, 7179.5
05/27/21, 7099.9, 7118.9, 7082.4, 7094.9
05/26/21, 7105.0, 7136.4, 7090.1, 7092.5
05/25/21, 7053.2, 7115.2, 7053.2, 7115.2
05/24/21, 7026.1, 7061.9, 7015.5, 7045.9
05/21/21, 7019.8, 7056.4, 6999.6, 7030.3
05/20/21, 6919.4, 7025.4, 6919.4, 7019.6
05/19/21, 7048.4, 7049.2, 6917.3, 6931.7
05/18/21, 7037.9, 7083.6, 7036.6, 7066.0
05/17/21, 7027.8, 7065.7, 7023.6, 7023.6
05/14/21, 6996.3, 7055.7, 6996.3, 7014.2
05/13/21, 7038.8, 7040.0, 6966.5, 6982.7
05/12/21, 7093.4, 7093.4, 7006.6, 7044.9
05/11/21, 7164.7, 7165.2, 7078.0, 7097.0
05/10/21, 7076.1, 7172.8, 7076.1, 7172.8
05/07/21, 7068.2, 7101.2, 7054.1, 7080.8
05/06/21, 7107.3, 7112.5, 7042.7, 7061.7
05/05/21, 7068.1, 7122.0, 7054.0, 7095.8
05/04/21, 7039.8, 7069.5, 7034.8, 7067.9
